wavelength,Baseline 100%T,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19
1240,184.4835358,99.99646759,99.99369049,44.6257782,44.68349838,45.93552399,99.96121979,43.80008698,43.80667114,45.30544281,41.72988129,99.96578217,46.05962753,51.87096405,58.22722244,51.59912109,53.77801514,53.73134613,62.01368713,99.84332275
1238,184.5192108,99.99005890000001,99.98244476,44.59411621,44.65472031,45.92941284,99.95533752,43.77307892,43.78257751,45.1963501,41.75690842,99.95245361,45.88766861,51.84872055,58.20698166,51.58973312,53.77822495,53.72836685,62.00305939,99.83203125
1236,184.5254211,100.00220490000001,99.99349976,44.58575439,44.64350128,45.92892075,99.9657135,43.75681686,43.769882200000005,45.22371292,41.65114212,99.96563721,45.78939056,51.82973099,58.18991089,51.58863068,53.78726578,53.73234177,61.99994659,99.84820557
1234,184.56042480000002,100.00063320000001,99.99028778,44.57960892,44.63764572,45.92728424,99.96018219,43.73617935,43.7504158,45.36286926,41.4394989,99.96606445,45.79421997,51.80656815,58.16555023,51.57899094,53.79002762,53.73026276,61.98891449,99.83933258
1232,184.6051025,99.99324799,99.98740387,44.57484818,44.63171005,45.91738892,99.95358276,43.71204758,43.72626114,45.55483627,41.19275665,99.95808411,45.88373184,51.80311203,58.15149689,51.57003403,53.79270172,53.72699356,61.97642517,99.83908844
1230,184.6191101,100.0027313,99.9942627,44.57526016,44.62767792,45.91068268,99.96860504,43.69608688,43.70692444,45.71972275,41.00962448,99.96525574,46.02635574,51.81993103,58.16124725,51.57151794,53.80228806,53.73555374,61.96972656,99.84415436
1228,184.6648712,99.99422455,99.98928070000001,44.55582809,44.60613251,45.88916397,99.95878601,43.67276764,43.68214417,45.78969193,40.93711472,99.96289825,46.14645004,51.83185959,58.1648407,51.56393814,53.80786133,53.73461151,61.95922089,99.83888245
1226,184.7140045,99.99568939,99.98709869,44.52759171,44.57742691,45.85790253,99.95840454,43.64998245,43.65478897,45.73436737,40.99681854,99.95949554,46.17824173,51.83281326,58.16300583,51.55846405,53.81206894,53.73440933,61.94645691,99.83345032
1224,184.7537384,99.99509429999999,99.98670197,44.49842453,44.5470047,45.82470703,99.96344757,43.62677383,43.63231277,45.57074738,41.16730881,99.96550751,46.09695816,51.82374573,58.15547562,51.55594254,53.82415009,53.74188995,61.938953399999995,99.83879852
1222,184.8001404,99.99082947,99.98925781,44.47003555,44.51752853,45.78787613,99.95680237,43.60248184,43.61082077,45.35009003,41.35632324,99.96212769,45.93567276,51.79899216,58.13314438,51.55070877,53.83173752,53.7470932,61.92984009,99.83804321
1220,184.85397340000003,99.9903183,99.98374939,44.44560242,44.49549103,45.7491684,99.95697784,43.57836914,43.59064102,45.13671875,41.47102356,99.95761108,45.75788498,51.77215195,58.10689163,51.54326629999999,53.84357071,53.74857712,61.92271042,99.83406067
1218,184.90174869999998,99.99246216,99.98914337,44.43519592,44.4851265,45.71374512,99.95849609,43.55649185,43.57073212,45.02312088,41.45038986,99.96844482,45.64953613,51.7572403,58.09035873,51.53883743,53.85274887,53.75654221,61.91941452,99.8451004
