wavelength,run_11,run_12,run_13,Baseline 100%T,run_14,run_15,run_16,run_17,Baseline 100%T.1,run_18,run_19,run_20,run_21,Baseline 100%T.2,Baseline 100%T.3,run_22,run_23,run_25,run_26,run_27,run_28,run_29,run_30,run_31,run_32,run_33
2135,52.03570175,99.47426605,99.98799896,99.38591766,52.43980789,52.55808258,52.04709244,53.0733757,99.28753662,52.25385284,52.21296692,52.89260101,52.313796999999994,99.26389313,99.9261322,99.77412415,51.78553009,51.02461624,52.00551224,99.73323059,99.99620056,49.43837357,49.39905548,51.089286799999996,50.68299103,100.00392149999999
2130,52.03308868,99.47706604,99.99777222,99.35680389,52.444561,52.56165314,52.04516602,53.07006073,99.25837708,52.25088501,52.21223831,52.89305878,52.31269455,99.24848175,99.90352631,99.77013397,51.78205872,51.01676559,52.00246429,99.72486877,99.98703003,49.42175674,49.38616943,51.08307648,50.67769241,100.0014877
2125,52.03291321,99.47624207,99.99649811,99.32732391,52.438537600000004,52.56099701,52.0476265,53.07371521,99.24150848,52.24310684,52.20459747,52.88461304,52.304245,99.21331787,99.87865448,99.77141571,51.77799606,51.01189423,51.99843216,99.7219162,99.98731995,49.40829468,49.37382126,51.07212067,50.67172623,99.99512482
2120,52.02950668,99.47055817,99.99259949,99.29669189,52.43847275,52.55493546,52.04047012,53.07349014,99.20137787,52.24472427,52.20555115,52.88586426,52.30406952,99.17868042,99.83848572,99.76454163,51.77716064,51.01551437,51.99641418,99.73220062,99.99148559999999,49.39841843,49.36814879999999,51.0724411,50.66883469,100.00233459999998
2115,52.02550125,99.47679901,99.98840332,99.26244354,52.43623352,52.55157471,52.04114151,53.06632614,99.1681366,52.24451447,52.20447159,52.8866272,52.30606079,99.14925385,99.80755615,99.7720108,51.77627945,51.00883865,51.99294662,99.72832489,99.98682404,49.39097595,49.355663299999996,51.07178116,50.66722107,100.0010223
2110,52.0214386,99.47434235,99.99198151,99.22438812,52.435008999999994,52.55587769,52.03731155,53.06931686,99.12448883,52.24678421,52.20513153,52.88727188,52.30604935,99.11326599,99.77222443,99.76761627,51.77182388,51.0086174,51.99328613,99.73407745,99.99462891,49.38028336,49.35263824,51.07110214,50.66418076,99.99978638
2105,52.02012634,99.45890045,99.9852066,99.17993164,52.43722153,52.55661774,52.04261017,53.07179642,99.08678436,52.24710846,52.20423508,52.88115311,52.30763626,99.07108307,99.73509979,99.76821899,51.76771927,51.00920105,51.99193192,99.72441864,99.98919678,49.36847687,49.34555817,51.06744766,50.662971500000005,99.99859619
2100,52.02271271,99.47055817,99.99977112,99.1436615,52.43444443,52.55551147,52.03777695,53.06947708,99.05392456,52.24269104,52.20027161,52.87712097,52.30054855,99.02719879,99.69900513,99.76767731,51.76791382,51.00836945,51.98857879999999,99.72654724,99.99214172,49.35725403,49.33724976,51.06934357,50.65955353,100.00194549999999
2095,52.02059174,99.46044159,99.99095917,99.10918427,52.43034363,52.55223083,52.03554153,53.06785583,98.99849701,52.24782944,52.20475006,52.88858414,52.305595399999994,98.9924469,99.65447235,99.76979065,51.77299881,51.00610352,51.9899025,99.73159790000001,99.99815369,49.35077667,49.32740402,51.07175064,50.65843582,100.0018234
2090,52.02276611,99.4679184,99.99539185,99.06299591,52.43120193,52.55374146,52.03405762,53.06600189,98.95906067,52.24465561,52.20338058,52.88198471,52.308815,98.94348145,99.61520386,99.76595306,51.7702179,51.005786900000004,51.98709488,99.72671509,99.98684692,49.33529282,49.31770325,51.06733322,50.65449905,100.0049133
2085,52.01468658,99.46405029,99.99516296,99.01341248,52.44367599,52.55590057,52.03829956,53.06853485,98.9176712,52.24332047,52.20343399,52.883850100000004,52.3040123,98.90309906,99.57154083,99.7720871,51.76743698,51.0031929,51.98642731,99.73219299,99.99380493,49.33045578,49.30899429,51.06827545,50.65588379,100.0087891
2080,52.016819,99.45943451,99.99889374,98.96697998,52.44217682,52.56082916,52.03925323,53.07177353,98.87979889,52.24066925,52.19929123,52.87809372,52.29663086,98.85485077,99.53305817,99.76618958,51.76723099,50.99969482,51.98528671,99.71810913,99.99143219,49.32302856,49.29239273,51.06246948,50.65021515,99.99380493
2075,52.01274872,99.44837189,99.98413086,98.92609406,52.43365097,52.55353928,52.03570557,53.06733704,98.82329559,52.24581528,52.20492554,52.87910079999999,52.30270004,98.81192779999999,99.48928833,99.76399231,51.76270676,50.99672699,51.98506546,99.72360992,99.98323059,49.31331635,49.28473663,51.06417084,50.64665604,99.99993134
2070,52.01157761,99.45256805,99.98675537,98.87800598,52.43898773,52.55899429,52.03705597,53.06430435,98.78292847,52.24208069,52.20002365,52.87462616,52.2985878,98.75770569,99.43978882,99.76705933,51.7650528,50.99845505,51.9845314,99.72689056,99.98698425,49.30187607,49.281536100000004,51.06569672,50.65242004,99.99156952
2065,52.01582336,99.46282196,99.99859619,98.82978821,52.43844223,52.55276108,52.03453827,53.06690979,98.73073578,52.24757767,52.20332718,52.87672424,52.304142,98.71148682,99.38742828,99.77184296,51.76551437,51.00063705,51.98764038,99.72971344,99.99552917,49.28878403,49.27309036,51.06512451,50.65128326,100.00202940000001
2060,52.01243591,99.46079254,99.99358368,98.78136444,52.43437958,52.55566788,52.03107452,53.06492996,98.68965149,52.24219513,52.19467926,52.87360382,52.29895782,98.66753387,99.34028625,99.77785492,51.7621994,50.99908066,51.98662186,99.72581482,99.9932785,49.27943802,49.27173996,51.06389618,50.64820099,100.006279
2055,52.01460648,99.45677185,99.99047852,98.73779297,52.43430328,52.5514679,52.03217697,53.05841446,98.63699341,52.24348831,52.19682312,52.87116241,52.29899979,98.61991882,99.28987885,99.77410126,51.76750946,51.00013733,51.98798370000001,99.73007965,99.99742126,49.27566528,49.26483154,51.06338882,50.64611435,99.99938965
